FIPS,Walkability_Index,Obesity_Rate,Fast_Food_Per_1000,Log_Fast_Food
15007,6.34591194967925,25.9,1.155168295,0.7678688156340556
15009,6.93434343448485,25.9,0.750437737,0.5598658920853437
16001,12.216962524503,33.2,0.768609941,0.570193893973736
16005,7.43220338988136,33.2,0.709499419,0.5362005902317034
16009,4.5666666666,33.2,0.636267245,0.49241757752944404
16011,3.25,33.2,0.466081947,0.3825935002650967
16027,9.79365079375,33.2,0.480905116,0.39265346571130577
16035,5.85416666625,33.2,0.452181786,0.37306710553581474
16049,3.6666666666,33.2,0.416097015,0.3479045063426701
16055,7.84090909083333,33.2,0.726727128,0.5462277832064448
16057,6.76881720425806,33.2,0.808229268,0.5923480614527145
16069,4.0666666666,33.2,0.760642886,0.5656790184893375
16083,7.43396226409434,33.2,0.848310709,0.6142720916625526
17001,7.23770491808197,33.4,0.52482903,0.4218822922990039
17007,6.42592592588889,33.4,0.56842941,0.45007474285421173
17019,11.3499999999267,33.4,0.874794424,0.6284990128780781
17023,5.8250000002,33.4,1.047943354,0.7168360476150517
17027,6.62365591419355,33.4,0.534787953,0.4283922301286847
17029,6.93137254894118,33.4,0.873310447,0.6277071582589485
17031,13.6418964076815,33.4,0.899715066,0.6417039096633225
17033,6.41666666675,33.4,0.756266177,0.5631900651606997
17037,7.30555555581667,33.4,0.880458593,0.6315156795419844
17043,10.5334954078784,33.4,0.958058,0.6719531657329239
17045,6.2916666665,33.4,0.771147251,0.5716275010246925
17055,5.93089430885366,33.4,0.709406197,0.5361460569918346
17063,6.70588235317647,33.4,0.960916221,0.6734118237110583
17073,5.99038461540385,33.4,0.495755106,0.40263116695424844
17077,6.89308176084906,33.4,0.670489609,0.5131167625020028
17081,5.48648648637838,33.4,0.832550049,0.6057084662747385
17083,5.39814814805556,33.4,0.647668421,0.49936121039415904
17085,6.17307692311539,33.4,0.47083196,0.3858281998798214
17089,10.7317518249124,33.4,0.66665411,0.51081808973761
17091,6.79166666672619,33.4,0.801149249,0.5884249328324664
17093,7.1068376068718,33.4,0.635343492,0.49185286913421766
17095,6.2356321837931,33.4,0.835830629,0.6074970379430058
17097,10.2443890275935,33.4,0.831900001,0.6053536801551578
17101,5.81481481477778,33.4,0.452576458,0.373338847257002
17103,5.99999999994737,33.4,0.624126971,0.4849704227965682
17109,5.62254901952941,33.4,0.853387952,0.6170152896637316
17111,8.3302845527561,33.4,0.768255055,0.5699932156885357
17113,10.7561728390833,33.4,0.811650395,0.5942382502639922
17115,7.01851851858586,33.4,0.708634675,0.5356946159225231
17119,7.38803418801026,33.4,0.753898025,0.5618407537194019
17129,5.32051282076923,33.4,0.41431886,0.34664804417424
17131,4.69298245610526,33.4,0.394088656,0.3322409085943831
17133,6.2666666668,33.4,0.5757218,0.45471345301105703
17143,10.9243498818794,33.4,0.782428563,0.5779767956448701
17145,5.37121212145455,33.4,0.580720067,0.4578804818291723
17161,7.41091954014655,33.4,0.844528675,0.6122237841522394
17163,10.8291457285226,33.4,0.759554505,0.5650606548501489
17167,10.52129629605,33.4,0.97481972,0.6804771131740618
17177,6.44897959169388,33.4,0.501927853,0.4067495182335486
17179,8.79651162805814,33.4,0.80289346,0.5893928520703927
17183,6.60353535359091,33.4,0.561084747,0.44538093025822617
