"","GEOID10","NatWalkInd","County"
"919","19125",6.67261904767857,"Marion"
"921","19129",5.47435897407692,"Mills"
"922","19131",5.90277777783333,"Mitchell"
"924","19135",5.833333333375,"Monroe"
"926","19139",9.33333333367647,"Muscatine"
"927","19141",6.6041666664375,"O'Brien"
"928","19143",5.333333333375,"Osceola"
"929","19145",6.68421052621053,"Page"
"932","19151",5.87037037011111,"Pocahontas"
"933","19153",11.8123620308411,"Polk"
"934","19155",7.22043010746237,"Pottawattamie"
"935","19157",5.77450980405882,"Poweshiek"
"937","19161",5.9166666666875,"Sac"
"938","19163",7.99462365592742,"Scott"
"940","19167",6.71794871780769,"Sioux"
"941","19169",7.39682539674603,"Story"
"942","19171",5.29166666655,"Tama"
"943","19173",4.64814814822222,"Taylor"
"944","19175",6.51111111133333,"Union"
"947","19181",6.448275862,"Warren"
"949","19185",5.63888888883333,"Wayne"
"950","19187",10.3245614036579,"Webster"
"951","19189",6.60714285735714,"Winnebago"
"953","19193",11.9552469137315,"Woodbury"
"954","19195",4.85,"Worth"
"955","19197",6.26923076923077,"Wright"
"958","20005",6.1041666669375,"Atchison"
"962","20013",6.68181818218182,"Brown"
"963","20015",6.37301587302381,"Butler"
"969","20027",6.00000000033333,"Clay"
"973","20035",6.66161616157576,"Cowley"
"976","20041",6.33333333315789,"Dickinson"
"977","20043",5.0166666667,"Doniphan"
"978","20045",8.55128205147692,"Douglas"
"981","20051",8.39333333336,"Ellis"
"982","20053",7.13888888833333,"Ellsworth"
"986","20061",7.01333333324,"Geary"
"995","20079",7.05555555559259,"Harvey"
"996","20081",6.2916666665,"Haskell"
"997","20083",7,"Hodgeman"
"998","20085",5.56060606090909,"Jackson"
"999","20087",5.4333333334,"Jefferson"
"1000","20089",4.4583333335,"Jewell"
"1001","20091",10.622641509566,"Johnson"
"1008","20103",6.75000000008333,"Leavenworth"
"1010","20105",5.58333333325,"Lincoln"
"1013","20111",7.49479166690625,"Lyon"
"1014","20113",6.95402298827586,"McPherson"
"1015","20115",5.70238095235714,"Marion"
"1016","20117",6.30303030372727,"Marshall"
"1018","20121",6.31111111126667,"Miami"
"1019","20123",7.833333334,"Mitchell"
"1023","20131",5.51851851833333,"Nemaha"
"1027","20139",4.98888888886667,"Osage"
"1028","20141",7.0833333335,"Osborne"
"1029","20143",5.02777777783333,"Ottawa"
"1031","20147",5.97619047614286,"Phillips"
"1032","20149",5.96666666673333,"Pottawatomie"
"1035","20155",7.1073446329661,"Reno"
"1038","20161",7.74822695008511,"Riley"
"1043","20169",11.6518518520222,"Saline"
"1045","20173",10.9733514002764,"Sedgwick"
"1047","20177",11.1111111113481,"Shawnee"
"1049","20181",7.437499999375,"Sherman"
"1050","20183",6.6666666664,"Smith"
"1051","20185",6.16666666675,"Stafford"
"1057","20197",4.479166666625,"Wabaunsee"
"1061","20205",6.11111111116667,"Wilson"
"1062","20207",6.333333333,"Woodson"
